Veh_Age,Gender,Exposure,Claim_Ind,Claim_Sev
1,F,0.72,0,0
3,F,0.54,0,0
3,M,0.16,1,8.607930998
4,F,0.53,0,0
1,F,0.39,0,0
1,F,0.01,0,0
2,F,0.17,1,12.62626267
3,M,0.01,0,0
2,F,0.36,1,7.400950784
1,F,0.88,1,4.687303776
